datetime,total inflows,pool elevation,total release,Date,Month,Day,Year
12/28/1963,4738.93,3409,980,1963-12-28,12,28,1963
12/29/1963,4415.93,3409.19995,980,1963-12-29,12,29,1963
12/30/1963,4586.51,3409.3999,980,1963-12-30,12,30,1963
12/31/1963,4545.84,3409.6001,980,1963-12-31,12,31,1963
1/1/1964,4532.17,3409.80005,980,1964-1-1,1,1,1964
1/2/1964,4415.76,3410,980,1964-1-2,1,2,1964
1/3/1964,4501.51,3410.19995,980,1964-1-3,1,3,1964
1/4/1964,4540.38,3410.3999,980,1964-1-4,1,4,1964
1/5/1964,4453.21,3410.6001,980,1964-1-5,1,5,1964
1/6/1964,4551.07,3410.80005,980,1964-1-6,1,6,1964
1/7/1964,4413.48,3411,980,1964-1-7,1,7,1964
1/8/1964,4382.27,3411.19995,980,1964-1-8,1,8,1964
1/9/1964,3626.97,3411.30005,990,1964-1-9,1,9,1964
1/10/1964,4387.81,3411.5,990,1964-1-10,1,10,1964
1/11/1964,4286.01,3411.69995,990,1964-1-11,1,11,1964
1/12/1964,3294.85,3411.80005,990,1964-1-12,1,12,1964
1/13/1964,3300.42,3411.8999,990,1964-1-13,1,13,1964
1/14/1964,3350.86,3412,990,1964-1-14,1,14,1964
1/15/1964,2707.54,3412,990,1964-1-15,1,15,1964
1/16/1964,3244.5,3412.1001,990,1964-1-16,1,16,1964
1/17/1964,3142.18,3412.19995,990,1964-1-17,1,17,1964
1/18/1964,3224.39,3412.30005,990,1964-1-18,1,18,1964
1/19/1964,3376.67,3412.3999,990,1964-1-19,1,19,1964
1/20/1964,3555.67,3412.5,990,1964-1-20,1,20,1964
1/21/1964,4347.26,3412.69995,990,1964-1-21,1,21,1964
1/22/1964,4567.13,3412.8999,990,1964-1-22,1,22,1964
1/23/1964,4633.22,3413.1001,990,1964-1-23,1,23,1964
1/24/1964,4812.67,3413.30005,1000,1964-1-24,1,24,1964
1/25/1964,4929.18,3413.5,1000,1964-1-25,1,25,1964
1/26/1964,4714.96,3413.69995,1000,1964-1-26,1,26,1964
1/27/1964,5283.23,3414,1000,1964-1-27,1,27,1964
1/28/1964,4363.68,3414.19995,1000,1964-1-28,1,28,1964
1/29/1964,4486.59,3414.3999,1140,1964-1-29,1,29,1964
1/30/1964,4679.25,3414.5,2950,1964-1-30,1,30,1964
1/31/1964,5218.8,3414.6001,3970,1964-1-31,1,31,1964
2/1/1964,4393.32,3414.6001,3970,1964-2-1,2,1,1964
2/2/1964,4397.85,3414.6001,3970,1964-2-2,2,2,1964
2/3/1964,4373.49,3414.6001,3990,1964-2-3,2,3,1964
2/4/1964,4348.45,3414.6001,4030,1964-2-4,2,4,1964
2/5/1964,3641.08,3414.5,4030,1964-2-5,2,5,1964
2/6/1964,4384.22,3414.5,4030,1964-2-6,2,6,1964
2/7/1964,4365.56,3414.5,4030,1964-2-7,2,7,1964
2/8/1964,4269.43,3414.5,4010,1964-2-8,2,8,1964
2/9/1964,4320.52,3414.5,3990,1964-2-9,2,9,1964
2/10/1964,3574.33,3414.3999,3990,1964-2-10,2,10,1964
2/11/1964,4301.84,3414.3999,3990,1964-2-11,2,11,1964
2/12/1964,4306.38,3414.3999,3990,1964-2-12,2,12,1964
2/13/1964,4399.65,3414.3999,3990,1964-2-13,2,13,1964
2/14/1964,4375.95,3414.3999,3990,1964-2-14,2,14,1964
2/15/1964,4531.24,3414.3999,3990,1964-2-15,2,15,1964
2/16/1964,4445.02,3414.3999,3990,1964-2-16,2,16,1964
2/17/1964,5241.63,3414.5,3990,1964-2-17,2,17,1964
2/18/1964,4454.13,3414.5,3990,1964-2-18,2,18,1964
2/19/1964,4654.62,3414.5,4010,1964-2-19,2,19,1964
2/20/1964,4641.01,3414.5,4010,1964-2-20,2,20,1964
2/21/1964,4666.72,3414.5,4010,1964-2-21,2,21,1964
2/22/1964,4628.91,3414.5,4010,1964-2-22,2,22,1964
2/23/1964,4554.79,3414.5,4010,1964-2-23,2,23,1964
2/24/1964,5237.12,3414.6001,3990,1964-2-24,2,24,1964
2/25/1964,4414.83,3414.6001,3990,1964-2-25,2,25,1964
2/26/1964,5204.72,3414.69995,4010,1964-2-26,2,26,1964
2/27/1964,4491.92,3414.69995,4060,1964-2-27,2,27,1964
2/28/1964,5222.82,3414.80005,4080,1964-2-28,2,28,1964
2/29/1964,4400.36,3414.80005,4100,1964-2-29,2,29,1964
3/1/1964,4222.36,3414.80005,4030,1964-3-1,3,1,1964
3/2/1964,4187.74,3414.80005,4010,1964-3-2,3,2,1964
3/3/1964,4270.93,3414.80005,4010,1964-3-3,3,3,1964
3/4/1964,4287.06,3414.80005,4010,1964-3-4,3,4,1964
3/5/1964,4348.06,3414.80005,4010,1964-3-5,3,5,1964
3/6/1964,4403.36,3414.80005,4030,1964-3-6,3,6,1964
3/7/1964,4355.96,3414.80005,4030,1964-3-7,3,7,1964
3/8/1964,4414.61,3414.80005,4010,1964-3-8,3,8,1964
3/9/1964,4380.33,3414.80005,4010,1964-3-9,3,9,1964
3/10/1964,5044.2,3414.8999,4030,1964-3-10,3,10,1964
3/11/1964,4289.96,3414.8999,4030,1964-3-11,3,11,1964
3/12/1964,4289.96,3414.8999,4030,1964-3-12,3,12,1964
3/13/1964,4200.56,3414.8999,4050,1964-3-13,3,13,1964
3/14/1964,4232.83,3414.8999,4050,1964-3-14,3,14,1964
3/15/1964,4166.28,3414.8999,4050,1964-3-15,3,15,1964
3/16/1964,4292.82,3414.8999,4050,1964-3-16,3,16,1964
3/17/1964,4323.07,3414.8999,4050,1964-3-17,3,17,1964
3/18/1964,4260.56,3414.8999,4050,1964-3-18,3,18,1964
